"individuo","clipeo_ojo","suturas","ojos_externo","ojos_interno"
"20191211_MJ_A009_cabe_14_47_29_0006",1.0282360206312,1.14823857177421,1.18888557814481,1.02786191039184
"20191211_MJ_A009_cabe_14_47_29_0008",0.953305475339336,1.06881631288994,1.1156903726305,0.95786527596885
"20191211_MJ_A010_cabe_15_11_21_0002",0.943736377087535,1.02710331889655,1.06991924361629,0.920705886762617
"20191211_MJ_A010_cabe_15_11_21_0004",1.02169525434412,1.10590417359831,1.17495791193297,0.96317815744348
"20191211_MJ_A010_cabe_15_11_21_0006",1.0623602128074,1.180717044426,1.20978711981779,1.0080582317124
"20191211_MJ_A010_cabe_15_11_21_0008",1.21034522352132,1.29008094122761,1.37723700868962,1.16017820349634
"20191211_MJ_A010_cabe_15_11_21_0010",1.03313405182075,1.15310305567042,1.17800185576795,1.03477937326176
"20191211_MJ_A010_cabe_15_11_21_0012",0.991366759758622,1.14417236948792,1.16296785088607,1.00528728525389
"20191211_MJ_A010_cabe_15_11_21_0014",0.963621419083368,1.06674929567779,1.07592933393598,0.934059355898695
"20191211_MJ_A010_cabe_15_11_21_0016",1.01115399112184,1.13190505025003,1.18416243138364,1.01549661088511
"20191211_MJ_A_cabe_15_42_01_0002",1.05108703730089,1.10677856543143,1.18411673273975,0.997124900482102
"20191211_MJ_A_cabe_15_42_01_0004",1.03020387397331,1.0618010742368,1.13626930121149,0.940447032512667
"20191211_MJ_A_cabe_15_42_01_0006",0.98020171183361,1.08620218412398,1.12130576942864,0.950364092533227
"20191211_MJ_A_cabe_15_42_01_0008",1.12176018165301,1.24152143654534,1.25939129552066,1.0618020143141
"20191211_MJ_A_cabe_15_42_01_0010",0.855904588398265,0.884303651175461,0.93400735542991,0.79975923783182
"20191211_MJ_A_cabe_15_42_01_0012",0.825841212653516,0.943025335511929,1.00124402574394,0.819897457217862
"20191211_MJ_B_cabe_16_23_47_0002",1.00622532156133,1.08298314515216,1.10775577762604,0.968671452353758
"20191211_MJ_B_cabe_16_23_47_0004",1.1075895029346,1.17088350091421,1.25030688420731,1.02960235766634
"20191211_MJ_B_cabe_16_23_47_0006",0.95604634096759,1.03168771367871,1.08805013345973,0.923772196983484
"20191211_MJ_B_cabe_16_23_47_0008",0.943858865760443,1.02450852453595,1.08325017107919,0.864795082956988
"20191211_MJ_B_cabe_16_23_47_0010",0.929678627730394,1.00673487484365,1.05155865125591,0.978797620153414
"20191211_MJ_B_cabe_16_23_47_0012",1.03562662875803,1.13955878600042,1.2238726063874,1.07583420448251
