"ID","Morfotipo","life Style","Genus"
"20200123_M4_A007_13_48_37_0002","C. cyanellus","Roller","Canthon"
"20200123_M4_A007_13_48_37_0004","C. cyanellus","Roller","Canthon"
"20200123_M4_A007_13_48_37_0006","C. cyanellus","Roller","Canthon"
"20200123_M4_A007_13_48_37_0008","C. cyanellus","Roller","Canthon"
"20200123_M4_A007_13_48_37_0010","C. cyanellus","Roller","Canthon"
"20200123_M4_A_13_28_24_0002","C. cyanellus","Roller","Canthon"
"20200123_M4_A_13_28_24_0004","C. cyanellus","Roller","Canthon"
"20200123_M4_A_13_28_24_0006","C. cyanellus","Roller","Canthon"
"20200123_M4_B_13_33_58_0002","C. cyanellus","Roller","Canthon"
"20200123_M4_B_13_33_58_0004","C. cyanellus","Roller","Canthon"
"20200123_M4_C_13_36_06_0002","C. cyanellus","Roller","Canthon"
"20200123_M4_D_13_38_50_0002","C. cyanellus","Roller","Canthon"
"20200123_M4_D_13_38_50_0004","C. cyanellus","Roller","Canthon"
"20200123_M4_D_13_38_50_0006","C. cyanellus","Roller","Canthon"
"20200123_M4_D_13_38_50_0008","C. cyanellus","Roller","Canthon"
"20200123_M4_D_13_38_50_0010","C. cyanellus","Roller","Canthon"
"20200123_M4_D_13_38_50_0012","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0002","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0004","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0006","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0008","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0010","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0012","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0014","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0016","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0018","C. cyanellus","Roller","Canthon"
"20200123_M4_E_13_53_17_0020","C. cyanellus","Roller","Canthon"
"20200123_M4_F_14_04_26_0002","C. cyanellus","Roller","Canthon"
"20200123_M4_F_14_04_26_0004","C. cyanellus","Roller","Canthon"
"20191112_MA_A_tibia_derecha0002","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_A_tibia_derecha0004","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_A_tibia_derecha0006","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_B_tibia_derecha0008","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_C_tibia_derecha0002","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_D_tibia_derecha0004","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_E_tibia_derecha0006","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_F_tibia_derecha0008","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_G_tibia_derecha0010","C. Glaphyrocanthon","Roller","Canthon"
"20191112_MA_H_tibia_derecha0002","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A001_tibia__09_35_30_0028","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A003_tibia__09_35_30_0030","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A004_tibia__09_35_30_0032","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A004_tibia__09_35_30_0034","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A004_tibia__09_35_30_0036","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A_tibia_0002","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A_tibia_0004","C. Glaphyrocanthon","Roller","Canthon"
"20191113_MV_A_tibia_0006","C. Glaphyrocanthon","Roller","Canthon"
