"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"20200123_M4_A007_13_48_37_0002",-0.0671657308074302,-0.0948129860180002,0.0159732726650776,-0.0169001355103048,0.0316068160903631,0.0402708208870277,0.00957787474515465,-0.0170654191511894,0.00539945240215,0.00229467060803238,0.0142084766617816,-0.00866519676547921,0.0064678511144491,0.00965759735769282,-0.00778020619002659,0.00353346004162437
"20200123_M4_A007_13_48_37_0004",-0.0354892878507191,-0.0752153026295387,0.0293634910650011,-0.0106725121181238,0.0324926017365316,-0.0180077508467584,-0.0217017498807662,-0.00746975114157314,0.0183321713763346,-0.0115387581645395,-0.0148765062863182,0.00138306061780809,-0.00487751810004767,0.00577428929150094,0.00465554394011652,-0.00970695846920586
"20200123_M4_A007_13_48_37_0006",-0.0762741114448961,-0.0783775148342415,0.00626331132578617,-0.00452580909368957,0.0342540531822135,0.0282375141321942,0.0256443870307274,-0.00221842048660217,0.00188949069577159,-0.00377407041263919,0.0203552426523722,-0.0195369794544134,0.0140441235750425,0.00719057460150503,-0.00650890489230611,0.010822957413208
"20200123_M4_A007_13_48_37_0008",-0.0357483533776715,-0.08015740894408,0.0307813294225851,-0.00982217970226315,0.0206658936913676,-0.0105339962403471,-0.00723271213083698,0.00162967749525048,0.0016706640177765,-0.00443216240673442,-0.00229887872441317,-0.0067336751251618,0.00103349009514689,-0.00192917084125868,0.000765818953810942,-0.00201460645022969
"20200123_M4_A007_13_48_37_0010",0.00854026446542249,-0.0763916423509447,0.0547403993340525,-0.00937177223095941,0.0365973086063876,-0.0192862210497784,-0.0181231862581847,-0.0166119349638135,0.00631242027747732,-0.00253689668362604,-0.0121380531981486,0.00499853403915133,-0.01295237999736,-0.00518170116793112,-0.00254412335548067,0.00260841708717073
"20200123_M4_A_13_28_24_0002",-0.0564797525366055,-0.0745663684881735,0.0289282674080772,0.00421137831171054,0.0176987811825769,0.0155861719448946,-0.00339501433659125,0.00379526449010937,-0.00268442793151302,-0.016515926575947,-0.00440910539757226,-0.0115417393004692,0.00564214398198446,0.000453845928116721,-0.0027998596322566,0.00378559995777927
"20200123_M4_A_13_28_24_0004",-0.0393659027300816,-0.0611967540865381,0.00970298001031614,-0.00435772326346844,0.035732229550142,0.00736197832530352,-0.0243445031970249,-0.00701664964526786,-0.000447401158568666,-0.0165413151671743,-0.00357713873461955,-0.00517166931409538,0.00787461494730406,-0.00687220745508196,-0.00283793111196123,0.00651212715481454
"20200123_M4_A_13_28_24_0006",-0.015771612713032,-0.0993043729784731,0.0704437796266501,-0.00742859003799736,0.0329166782749565,-0.00802080805495944,-0.00804463785837344,-0.00544634842383731,0.00185638879450666,0.00633662868910789,-0.000420700546051034,-0.00394395473311934,0.00378305388526907,-0.00584603137700442,-0.000770972497204319,0.0142256078316744
"20200123_M4_B_13_33_58_0002",-0.0422245879357338,-0.0579622447217719,0.0104923073137462,0.00492320005788713,0.0398274677088547,-0.020400016022958,-0.0105804661418827,-0.0411563300306161,0.0214066234125701,-0.000492206828115931,-0.00224982552163128,0.000566340419416836,-0.000301884905438356,0.00905787526382344,0.0114998220936105,-0.00160188150753641
"20200123_M4_B_13_33_58_0004",-0.0263866957103599,-0.0849304218147098,0.0314039348598161,-0.0105962644051181,0.0388591705314744,0.0256550126828463,0.0309665182968524,-0.0219090203301434,0.0121471206891871,-0.0130419940502044,0.00239366154760801,-0.00165525263210133,0.0193223405516566,0.0130011501428712,-0.0116872506662767,0.00322571698387989
"20200123_M4_C_13_36_06_0002",-0.0590814651953601,-0.0385676909553194,-0.00906117587890076,0.0183921116408014,0.0129918642658419,0.0429359243684911,0.00515336781937397,-0.0145738072200275,0.0117094545265315,0.00586471797078673,0.0120425647915802,-0.0238753247715842,0.00141788244106077,0.00895032798004208,-0.00547551434544705,0.00200418542393588
"20200123_M4_D_13_38_50_0002",-0.0150652031176029,-0.0892721444494583,0.0357801421899655,-0.0085298683789591,0.0128484783909505,0.00391784737285208,-0.0206774436475037,0.000498226361017056,0.0124802531277112,0.00103630826055985,-0.00888525332098239,-0.000736953803684593,-0.0145791077398799,-0.00667340554584425,-0.00706606028872285,-0.00232622900440053
"20200123_M4_D_13_38_50_0004",-0.0342536852849867,-0.0871814892838999,0.0468551656824907,0.00918397168020827,0.0202944571030378,0.0200087563786607,-0.0192355693016669,0.00338505839439151,0.0113245337800996,-0.0152591964944784,0.0198336617328672,-0.00257668980328842,-0.0209683655659003,0.00209097632362736,0.00542930858961087,-0.00960203731247142
