"","PC1","PC2","PC3","PC4"
"C..juvencus",-1.24826553945871,-0.153480888043475,0.0466942217063687,-0.0334792532363865
"C..juvencus.1",-1.3970412310368,-0.154523690776323,0.0488515131545424,-0.0397721870808198
"C..juvencus.2",-1.4647984324589,-0.139934816730747,0.0622745877683309,-0.0217914906509858
"C..juvencus.3",-1.31048195053789,-0.135494537184948,0.0903094661215456,-0.0442621333690546
"C..juvencus.4",-1.21218287658268,-0.119210446140157,0.0669381935176276,-0.0462123466487755
"C..juvencus.5",-0.92562998563936,-0.161672237229038,0.0914500604052184,-0.0233304369906945
"C..juvencus.6",-1.24590383428702,-0.148237732217612,0.0382492380695771,-0.0230114676307454
"C..juvencus.7",-1.29202727484391,-0.14581898055291,0.0284323251034391,-0.0492883489361938
"C..juvencus.8",-1.42472754823769,-0.120451229098929,0.0482628534772546,-0.0215913741502118
"C..juvencus.9",-1.27333140098993,-0.159996575076127,0.0501161811583076,-0.0406435401134917
"C..juvencus.10",-1.27576913448527,-0.147389756147626,0.0929649149396483,-0.016923889331471
"C..juvencus.11",-1.36059035945045,-0.126670078364713,0.110708929918323,-0.0122288572167518
"C..juvencus.12",-1.37509200388855,-0.132206693187381,0.060070936732521,-0.0369821922698234
"C..juvencus.13",-1.1006103869242,-0.114934198432407,0.0632595575706675,-0.0365036026578197
"C..juvencus.14",-1.70967341768253,-0.12435383480012,0.0861991442845523,-0.00111803779728359
"C..juvencus.15",-1.64829105312774,-0.144279751036558,0.0615557412276107,-0.0682464696053822
"C..juvencus.16",-1.36315283542735,-0.128713273865213,0.0600765126992728,-0.00455374143703086
"C..juvencus.17",-1.16463235204002,-0.13699773365406,0.104155045455922,-0.02930513271128
"C..juvencus.18",-1.4454735923746,-0.142131430023186,0.0732977599554027,-0.0250927679532376
"C..juvencus.19",-1.4841725971053,-0.114064962429916,0.097111586354079,-0.0542299783269836
"C..juvencus.20",-1.46617560071491,-0.183230132213457,0.0287482045320412,0.0145933325894334
"C..juvencus.21",-1.20947186931832,-0.198771892459809,0.0481445261576137,-0.0236270652494273
"C..juvencus.22",-1.3343519055937,-0.119617704476425,0.0909548207027841,0.0113700370482743
"C..juvencus.23",-1.3377351065669,-0.0695697378946861,-0.0444342197378735,-0.128403323079017
"C..juvencus.24",-1.58335860222602,-0.123331261684065,0.0618421161688358,-0.0449003689208848
"C..juvencus.25",-1.58335860222602,-0.123331261684065,0.0618421161688358,-0.0449003689208848
"C..juvencus.26",-1.37415978867626,-0.113961185652595,0.0811008816954315,-0.0109359469802546
"C..juvencus.27",-1.36420019811378,-0.131286616422146,0.0559305399187436,-0.0391576738511603
"C..juvencus.28",-1.65917859989382,-0.149912089873989,0.0584811042458355,-0.0150347347730611
"C..juvencus.29",-1.5704129512329,-0.15034078044095,0.0855439252265908,0.0456112134489728
"C..septemmaculatus",2.57633233447643,-0.314705632509205,-0.227572642112362,-0.131906091107804
"C..septemmaculatus.1",3.33045048073209,-0.252777974038715,-0.113031282133641,0.0424857333843581
"C..septemmaculatus.2",2.66047699223187,-0.297824936446878,-0.110123448220017,-0.13335400180352
"C..septemmaculatus.3",2.94829421286407,-0.302562369776369,-0.179032168292788,-0.110474260934219
"C..septemmaculatus.4",2.29622347996834,-0.276974166345766,-0.172284682359537,-0.147157543065153
"C..septemmaculatus.5",3.48980068144488,-0.240111227991899,-0.037127233941052,0.063641769253137
"C..septemmaculatus.6",2.13385733067997,-0.212342868192315,-0.0395551713317636,-0.00152335362457923
"C..septemmaculatus.7",2.97611641306657,-0.208768661466447,-0.100929434675064,-0.0399770837095977
"C..septemmaculatus.8",2.46768865683085,-0.295793848678513,-0.10030268784771,-0.0343831143640824
"C..septemmaculatus.9",1.66117007839729,-0.235569388357442,-0.0452866711152358,-0.0892734578184388
"C..septemmaculatus.10",1.77845461152635,-0.162436699239575,-0.0435343960901952,-0.0199542918698103
"C..septemmaculatus.11",3.00006486234126,-0.206351083761833,-0.0657939354820136,0.0240749646600131
"C..septemmaculatus.12",2.99768754109982,-0.255585751310826,0.0216625787242032,-0.00551341048995624
"C..septemmaculatus.13",2.98514720104964,-0.179142852609767,-0.0336235603527174,0.0322913117718518
"C..septemmaculatus.14",2.37236986124165,-0.205338997255732,-0.0385291488627287,0.00615123613447055
"C..septemmaculatus.15",2.57225295580499,-0.220368409260584,-0.0025978779443232,-0.0125357101403817
"C..septemmaculatus.16",2.552237992165,-0.218790089451565,-0.11138348164085,0.0258082761113985
"C..septemmaculatus.17",2.46265935772312,-0.154577031476331,-0.050345575329489,0.019076678232258
"C..septemmaculatus.18",2.85547649421275,-0.250350284069777,-0.177076465621303,-0.0290791656299444
"C..septemmaculatus.19",2.09029305185748,-0.159922936378721,-0.0733433525779171,0.0500205809913956
"C..septemmaculatus.20",2.94569120311447,-0.193513891014749,-0.0664600070450265,0.0220565670369874
"C..septemmaculatus.21",2.48153790853156,-0.242772872232336,-0.120977623402808,0.00239853874712592
"C..septemmaculatus.22",3.01268075524347,-0.164797773126586,-0.192807314976126,-0.0883786106172526
"C..septemmaculatus.23",2.19913478631439,-0.16440672427771,-0.0877843570148528,-0.00371035533946262
"C..septemmaculatus.24",2.75134705673644,-0.242407740187148,-0.132562274173623,-0.00268740108922139
"C..septemmaculatus.25",2.99966096315494,-0.153932215122484,-0.119395970448476,0.0132911669281984
"C..septemmaculatus.26",2.51317363863103,-0.162012424856219,-0.109105557858644,0.0444258678431299
"C..septemmaculatus.27",3.02012072191252,-0.188824906158241,-0.11802596946987,-0.00799601090328639
"C..septemmaculatus.28",3.92775645043525,-0.260673133910497,-0.114587123111967,0.0462774685816006
