"","PC1","PC2","PC3"
"C..cyanellus",-0.24111697109192,-0.00922388898712566,-0.00750792276310892
"C..cyanellus.1",-0.25734257879035,-0.00432893273155099,-0.00848005746146296
"C..cyanellus.2",-0.284103887326186,-0.000767781666558401,-0.00766589940207045
"C..cyanellus.3",-0.280590810698413,-0.00863840300268078,-0.018641139320002
"C..cyanellus.4",-0.266763359433866,0.000698346579924389,-0.011437793681131
"C..cyanellus.5",-0.223548514359763,-0.00702756111004215,-0.00674547149555565
"C..cyanellus.6",-0.271027845457259,-0.000455654902131154,-0.0148207620744651
"C..cyanellus.7",-0.238401638691559,-0.0195961715317433,-0.00884930950300783
"C..cyanellus.8",-0.280110093724807,-0.0115672153219423,0.000298049596915248
"C..cyanellus.9",-0.248585407857445,0.0043635365593975,0.0111781606166481
"C..cyanellus.10",-0.249121490268265,-0.00096336032831467,-0.00335528814060738
"C..cyanellus.11",-0.267028489637126,-0.00945160292537882,-0.00254197577595183
"C..cyanellus.12",-0.260141225262217,-0.00925056940041193,0.00384144965893894
"C..cyanellus.13",-0.284036927631692,-0.00593309012754452,-0.00540550095329839
"C..cyanellus.14",-0.330333353897784,0.00589840465982323,-0.0187962627298006
"C..cyanellus.15",-0.283145706537934,-0.00883682826145644,0.00382200100394632
"C..cyanellus.16",-0.249442389816714,0.00681034523966985,-0.00820769129023903
"C..cyanellus.17",-0.255757496291832,0.00166185061530315,-0.00379228239616546
"C..cyanellus.18",-0.31345596608615,-0.00994400914622658,-0.0200547790849976
"C..cyanellus.19",-0.260745073329281,0.00676979491864689,-0.0456282095889537
"C..cyanellus.20",-0.274748540594075,0.00373873622056332,-0.0108020566695129
"C..cyanellus.21",-0.231623587008961,0.0188525858901652,-0.00767663007116574
"C..cyanellus.22",-0.306006533355277,-0.0135479208920898,-0.00672105464345776
"C..cyanellus.23",-0.258764189870083,0.00672354605153326,0.00657298710684796
"C..cyanellus.24",-0.271823939832837,0.00860361553833648,-0.0121909821700065
"C..cyanellus.25",-0.271823939832837,0.00860361553833648,-0.0121909821700065
"C..cyanellus.26",-0.254159296971577,0.00625759001691527,-0.0079662160358448
"C..cyanellus.27",-0.263986861856117,0.00843626860443808,-0.0145056165636665
"C..cyanellus.28",-0.328379131432746,-0.0122170307708738,-0.00459754327359567
"C..Glaphyrocanthon",-0.296738154088414,-0.0062900640492844,-0.00872718841638238
"C..Glaphyrocanthon.1",0.416665807649457,-0.0101275582235963,-0.00689877242497755
"C..Glaphyrocanthon.2",0.561975998147755,0.0241760301423722,-0.0208788358579568
"C..Glaphyrocanthon.3",0.378031723718001,0.00486482919090256,-0.0222914438128304
"C..Glaphyrocanthon.4",0.526028264893062,-0.0240300885380092,-0.0282312673823151
"C..Glaphyrocanthon.5",0.382702209558652,0.00647207212767985,-0.0530559788223464
"C..Glaphyrocanthon.6",0.511483014398884,0.0594790504189674,-0.0344387607318185
"C..Glaphyrocanthon.7",0.305620292215663,-0.0303723298226219,0.000408325068782842
"C..Glaphyrocanthon.8",0.520602725944997,0.0212428812476894,0.0135071987894586
"C..Glaphyrocanthon.9",0.333267759626733,-0.01710470550953,-0.00573641045402584
"C..Glaphyrocanthon.10",0.346746760636902,-0.0342838635208788,0.0106500896890914
"C..Glaphyrocanthon.11",0.279056473486453,0.040663844761664,-0.0527361884943826
"C..Glaphyrocanthon.12",0.45928668174253,-0.0139240748992965,-0.00969102574563346
"C..Glaphyrocanthon.13",0.484995040669055,0.0241391494590626,-0.0250464205235663
"C..Glaphyrocanthon.14",0.473376672632483,-0.0088447101439422,-0.0105853040072836
"C..Glaphyrocanthon.15",0.440916066124487,-0.00855163616836022,-0.053620010446264
"C..Glaphyrocanthon.16",0.379718718193907,0.00572140093895708,-0.0198362838929281
"C..Glaphyrocanthon.17",0.382273078154449,0.0287843793901258,-0.0237382300898721
"C..Glaphyrocanthon.18",0.411171804288321,0.00863689097517076,-0.0542065111453149
"C..Glaphyrocanthon.19",0.576030176375867,-0.00910555329643281,-0.00405675256752866
"C..Glaphyrocanthon.20",0.320675251677571,0.0207628309691005,-0.00591699630339404
"C..Glaphyrocanthon.21",0.474219963920695,0.00178684165285629,-0.0160921738651379
